,APM,Tcell,IFNgamma,PDL1
TCGA-GD-A3OS,1.612027862,-0.10013594,2.046561391,0.901109438
TCGA-GD-A6C6,1.658823335,-0.917855715,2.010161918,0
TCGA-GD-A76B,1.731438862,-0.223672743,3.187049661,1.362638898
TCGA-GU-A42P,1.464082199,-0.555944836,1.629747082,0.84612053
TCGA-GU-A42Q,1.671162237,-0.393954486,2.012916724,0.673002465
TCGA-GU-A42R,1.403774662,-0.445259399,1.720875234,1.144349998
TCGA-GU-A762,1.752809105,0.39572613,3.668611663,2.020415152
TCGA-GU-A763,1.607657956,-0.579714328,1.874567469,0.667621034
TCGA-GU-A764,1.675964181,-0.136652665,2.908332724,2.567355787
TCGA-GU-A766,1.758470567,0.672316914,4.051681543,2.686181183
TCGA-GU-A767,1.480396727,-0.535757442,2.087180078,0.862095584
TCGA-GU-AATO,1.626739421,-0.026114501,2.673024511,0.985520778
TCGA-GU-AATP,1.692883464,-0.684772953,2.591428559,1.491566184
TCGA-GU-AATQ,1.665634635,-0.53968827,2.796960627,0.446676939
TCGA-GV-A3JV,1.619997758,0.076551724,2.83877943,1.795758398
TCGA-GV-A3JW,1.417996095,-0.784987495,1.384830314,0.531121115
TCGA-GV-A3JX,1.723051989,-0.317216208,3.07364222,1.712616876
TCGA-GV-A3JZ,1.391961606,-0.575845242,2.539595993,2.385262992
TCGA-GV-A3QF,1.352690312,-0.902536161,1.442107559,0.682469998
TCGA-GV-A3QG,1.695357482,1.062186621,3.294611462,1.958557672
TCGA-GV-A3QH,1.700637114,-0.476088471,1.84874753,1.140209402
TCGA-GV-A3QI,1.529498722,-0.260490868,1.687924373,1.619596236
TCGA-GV-A3QK,1.69001479,0.152114975,2.635662427,1.453197516
TCGA-GV-A40E,1.721471695,-0.149816527,2.623448589,2.363267792
TCGA-GV-A40G,1.352518084,-0.513514092,1.592054849,0.7945229
TCGA-GV-A6ZA,1.741864254,-0.449224002,2.669187482,0.967384149
TCGA-H4-A2HO,1.490381445,-0.162702714,2.339615112,0.544700413
TCGA-H4-A2HQ,1.674192711,-0.435138223,2.560818777,1.229423287
TCGA-HQ-A2OE,1.28641357,-0.100303073,2.060524474,1.787397416
TCGA-HQ-A2OF,1.414900595,-0.488338273,1.501194435,0.669920939
